"idencuesta","ola","ponderadorlong_total","ponderadorlong_total_rs","ponderadorlong_panel","ponderadorlong_panel_rs"
136051023,5,152.876893806903,0.0311676389772837,238.562497314942,0.036850298777925
136051026,5,47.3319448877505,0.00964975761619959,65.8418854458992,0.010170471797083
136051027,5,30.0061304210343,0.00611747280298194,NA,NA
136051822,5,60.4882082366728,0.012331978952193,NA,NA
136051823,5,26.9284680402979,0.00549001715819418,NA,NA
136051824,5,54.8608018511613,0.0111846965458431,NA,NA
136051825,5,37.438788090741,0.00763279918830061,NA,NA
136051826,5,50.5069155507904,0.0102970518993637,74.0241113938628,0.0114343647988941
136051921,5,49.2545402503903,0.01004172501343,68.8185390393864,0.0106302698605379
136051927,5,104.10583778368,0.0212244838750308,162.455869087115,0.0250942515335277
136051928,5,45.9279833541346,0.00936352622355366,64.1706673007013,0.00991232188388715
142010722,5,81.7837578000976,0.0166735899313776,NA,NA
142010724,5,34.3011308506461,0.00699311214561866,48.1366489343442,0.00743557732402883
142010921,5,12.5823313890366,0.00256521147480516,15.8098369497193,0.00244211567947459
142010922,5,28.3484437543888,0.0057795134274551,35.9727407904218,0.00555664138709058
142010923,5,24.5140382196397,0.0049977774539959,34.2510616819312,0.00529069686411793
142010925,5,32.3666266937942,0.00659871685369855,40.3129151209693,0.00622705992575056
142011021,5,27.5012274077098,0.00560678795814843,38.2560376273207,0.0059093379407628
142011122,5,39.2375463915516,0.00799951941613222,NA,NA
142011125,5,49.1278837981293,0.0100159030433473,72.0029703488904,0.0111221629556965
142040221,5,16.5195330803057,0.00336790492205184,20.5752221633926,0.00317821574085154
142040222,5,15.1632097605982,0.00309138572734272,18.8859096693462,0.00291727082773425
142040224,5,15.1632097605982,0.00309138572734272,18.8859096693462,0.00291727082773425
142040522,5,36.9764045374462,0.00753853115799688,46.0544335280542,0.00711394143948957
142040921,5,18.2138504287525,0.00371333234482535,25.5604903421136,0.00394828070890655
142040924,5,25.327148701283,0.00516354962079905,NA,NA
1101090100,5,1292.38901488524,0.263484645920584,NA,NA
1101100100,5,2137.52338272739,0.435785653667837,NA,NA
1107060200,5,1791.67487627219,0.365276101036268,2273.54476539378,0.35119016958958
5701170400,5,86.9015216100682,0.0177169694168454,110.273634004627,0.0170337601514684
5701210400,5,129.748664329358,0.0264523920319187,182.08338179045,0.0281260763824709
1101011,6,1648.29923778789,0.331246652492364,2102.52938799137,0.321308501912207
1101012,6,832.283008094796,0.167257834037264,1061.63944235856,0.162239719807683
1101023,6,368.882023780656,0.074131524628949,527.028263873804,0.0805404494690365
1101041,6,4672.56258370407,0.939010756621011,NA,NA
1101081,6,2973.18263913864,0.597498787771581,4247.83855939998,0.649154609529442
1101082,6,1120.20760343408,0.225119935887384,NA,NA
1101102,6,353.173043109549,0.0709746055804667,NA,NA
1101103,6,493.258634737295,0.0991265832222075,749.731178307824,0.114573904704893
1101111,6,1582.20876583335,0.317964933314987,NA,NA
1101113,6,540.329691646495,0.108586109546672,821.277090483339,0.125507549670978
1101133,6,1790.82347067961,0.359888706047994,2284.32974394976,0.349091228923647
1101151,6,5249.47444857563,1.05494851818808,8309.57185180287,1.26986861562269
1101152,6,1289.96241962878,0.25923432077566,1652.49516508959,0.252534280350464
1101171,6,653.136220998373,0.131256013390855,933.147256941287,0.142603546425445
1101173,6,612.498052359313,0.123089257612229,784.63531553255,0.119907954305469
1107033,6,1597.90867044073,0.321120028413269,NA,NA
1107072,6,2633.74516502992,0.529284519117381,NA,NA
2101032,6,2536.81575011792,0.509805322936515,NA,NA
2101033,6,1922.47674170338,0.386346101839076,2746.6764824522,0.419747048890158
2101043,6,1184.45444108453,0.238031153351448,1607.34401815196,0.245634282916417
2101062,6,2304.62703042145,0.463144052711599,3502.93054676716,0.535317780913169
2101071,6,1222.15694672512,0.245607950390304,1558.95291238255,0.238239155034044
2101072,6,4162.64981620948,0.836537314042477,6589.20013432434,1.00696144180038
2101073,6,1240.625000868,0.249319340271844,NA,NA
2101082,6,2290.96673186438,0.460398842336358,3184.12391574145,0.486597757497748
2101083,6,5089.85582491488,1.02287112984079,7303.12976744324,1.11606415503633
2101092,6,4081.28722919011,0.820186469505016,5831.00716246718,0.891094405962884
2101102,6,419.669770679621,0.0843379669800898,535.320290076509,0.0818076367588909
2101111,6,1363.12278714491,0.273936825199161,NA,NA
2101112,6,2289.49933595147,0.460103950503073,NA,NA
2101141,6,339.973999983975,0.0683220903385642,461.356010199162,0.0705044168856555
2101142,6,1032.12338524885,0.207418294254386,1280.74420241163,0.19572330515806
2101143,6,2025.15835177182,0.406981274645043,2594.31153491031,0.396462640444677
2101151,6,371.460966854779,0.0746497959723357,504.084870081012,0.0770342404569539
2101152,6,235.099384630653,0.047246205286385,319.037673759137,0.0487553313616392
2101162,6,218.453353098988,0.0439009739741709,278.653647508986,0.0425838452222633
2101172,6,1364.59452675885,0.2742325899543,1957.97508842588,0.299217716545003
2101173,6,1792.11311856049,0.360147877158215,2571.39595167286,0.392960681441144
2101182,6,1696.37190438974,0.340907464997267,NA,NA
2101191,6,255.148620494308,0.0512753537035004,325.461215170309,0.0497369768404529
2101192,6,2732.61369270134,0.549153404618996,4153.45123107718,0.634730339773162
2101193,6,2317.95325448943,0.465822126578093,3325.89251930074,0.508262832853171
2101201,6,896.406990660313,0.180144362212702,NA,NA
2101202,6,1189.33234056908,0.239011429164486,1523.58387544397,0.232834059467856
2101211,6,1872.21986704788,0.376246345003234,2686.33633497167,0.410525868676047
2101213,6,1649.31595594162,0.331450974909818,NA,NA
2101221,6,3620.94866220058,0.727675591727108,NA,NA
2101222,6,517.719820166534,0.104042368902182,819.51633195273,0.125238470585125
2101223,6,1139.39895230375,0.228976681024525,NA,NA
2101231,6,1223.75059825374,0.245928214892035,1567.6750858151,0.239572077415552
2101232,6,789.720532439043,0.15870436433981,1133.12276944763,0.173163800522023
2101243,6,4242.04924917847,0.852493637856632,6060.69070037167,0.926194639947481
2101251,6,564.672737968731,0.113478153673641,700.692713438502,0.107079847416929
2101255,6,495.713310940937,0.0996198815607425,708.234364382268,0.108232362373688
2101263,6,299.111227084064,0.0601101974829824,371.161990358137,0.0567209684534575
2101264,6,609.522305730435,0.122491243558177,NA,NA
2101265,6,95.9135200112266,0.019275039206544,NA,NA
3101023,6,1658.80498483997,0.333357915704257,2251.05346155977,0.344005948068597
3101033,6,740.52160482632,0.148817215389963,1046.55042245506,0.159933816067071
3101041,6,615.951069903735,0.123783185314412,785.691818783686,0.12006940911263
3101043,6,1010.33412802006,0.203039466459124,1371.05696992521,0.209524900607366
3101061,6,260.476058000135,0.0523459698875712,323.22027183821,0.0493945159221802
3101062,6,390.900606129755,0.0785564382177916,485.061856145393,0.0741271438216254
3101072,6,581.536554416145,0.11686715162886,NA,NA
3101093,6,426.179282462863,0.0856461359934131,611.499168362826,0.093449291519737
3101102,6,834.421152266711,0.167687521246514,1035.41889313704,0.158232695964021
3101111,6,561.69483450632,0.112879706176515,853.751157033725,0.130470235916363
3101131,6,730.260956243728,0.146755207826369,1043.33672863605,0.159442699437506
3101132,6,828.314308080368,0.166460273397553,1027.8410149507,0.157074644760726
3101141,6,350.208992491843,0.0703789419883081,NA,NA
3101142,6,160.988302644933,0.0323526427234955,NA,NA
3101143,6,549.390054668678,0.110406904492553,745.540552151012,0.113933493293662
3101151,6,112.297382959137,0.022567584414338,NA,NA
3101152,6,215.359854621471,0.0432792961915961,267.236349045765,0.0408390538837666
3101171,6,70.2212333237138,0.01411184810325,87.1363237679732,0.0133161713752652
3101172,6,825.466400988516,0.16588795032104,NA,NA
3101182,6,1437.56738464824,0.288897411938384,NA,NA
3101183,6,3151.17090770404,0.633267789414951,4988.09572870338,0.762280696354737
3101191,6,363.971364802763,0.0731446653799319,466.262358821828,0.0712542049907881
3101192,6,147.147789735019,0.0295712159867222,182.593167923786,0.0279038845212263
3101202,6,370.567972680032,0.0744703374587971,529.437008849532,0.0809085538313632
3101203,6,566.751030874631,0.113895813011336,703.271631451781,0.107473957619684
3101222,6,3197.01069721248,0.642479876927656,4587.19947927747,0.701015738984357
3101231,6,295.057066756957,0.059295462508753,400.40223989621,0.061189462843252
3101232,6,773.168708725567,0.155378065284372,990.461065784572,0.151362241625378
3101233,6,692.092934863104,0.139084859491102,988.805402231029,0.151109223151963
3103021,6,263.450155848213,0.0529436525981953,NA,NA
3103023,6,381.378082550284,0.076642766242057,NA,NA
3301011,6,132.612159876883,0.0266500966765917,201.564582717124,0.0308030957765923
3301021,6,497.12626505928,0.0999038326244185,713.296751306904,0.109005996249221
3301023,6,75.0270380041795,0.0150776355503599,NA,NA
3301031,6,24.8848866472529,0.00500093381746452,30.8792289339082,0.00471896319053917
3301041,6,78.2631572365862,0.0157279747838109,99.8305309585341,0.0152560998816909
3301043,6,74.8548083259951,0.0150430238105432,95.4829261154574,0.0145916989905482
3301051,6,574.854585140658,0.115524325093593,780.096765804707,0.119214373220593
3301083,6,431.881585566649,0.0867920861772893,NA,NA
3301093,6,285.462640554024,0.057367340788226,364.1290229218,0.055646190500829
3301101,6,455.43005561401,0.0915244501168453,NA,NA
3301103,6,399.932002899686,0.0803714120276349,496.268761461251,0.0758397828832609
3301111,6,251.694389066617,0.0505811820560681,312.32324951041,0.0477292331730081
3301122,6,67.0224972196261,0.0134690214839114,93.1519141336704,0.0142354737829077
3301143,6,205.655213455518,0.0413290253753724,255.194026308564,0.0389987463473616
3301161,6,135.619991779629,0.0272545586736629,NA,NA
3301173,6,56.5259397800028,0.0113596050412785,72.103078644134,0.0110187911354416
3301191,6,204.488127142449,0.0410944845677866,260.839953666011,0.0398615568609685
3301202,6,1125.45149799169,0.22617376305566,1607.95243688379,0.245727261455683
3301212,6,73.0017081788121,0.0146706198159194,93.5182048508704,0.0142914503234879
3301213,6,123.272787568752,0.0247732312734383,NA,NA
3301221,6,206.22664516735,0.0414438618306307,255.903106116718,0.0391071079104367
3301232,6,72.3907404269932,0.0145478380916238,92.3398225740092,0.0141113699658859
3301233,6,313.5370021238,0.0630092400730484,476.562293066749,0.0728282407502556
