"idencuesta","ola","muestra","segmento_disenno","m0_sexo","tramo_etario","tipo_atricion","pd_diseno","pd_nr","pd_atricion","pd_atricion_trm","ponderadorlong_total","ponderadorlong_total_rs","ponderadorlong_panel","ponderadorlong_panel_rs"
9201063,1,1,920106,"Hombre","18 a 29",2,83.9837398373984,125.975609756098,125.975609756098,125.975609756098,302.328969217857,0.0735416132872563,NA,NA
9201071,1,1,920107,"Mujer","40 a 49",2,20.9959349593496,62.9878048780488,62.9878048780488,62.9878048780488,74.6673858104085,0.0181628642026776,NA,NA
9201081,1,1,920108,"Mujer","18 a 29",2,20.9959349593496,20.9959349593496,20.9959349593496,20.9959349593496,34.5934055454446,0.00841485637150133,NA,NA
9201082,1,1,920108,"Mujer","60 o más",2,20.9959349593496,20.9959349593496,20.9959349593496,20.9959349593496,27.6184911510866,0.00671820633353568,NA,NA
9201083,1,1,920108,"Hombre","40 a 49",1,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,72.5061561760433,0.0176371444398423,232.911900736643,0.0252406153177701
9201101,1,1,920110,"Mujer","60 o más",2,20.9959349593496,20.9959349593496,20.9959349593496,20.9959349593496,27.6184911510866,0.00671820633353568,NA,NA
9201102,1,1,920110,"Hombre","40 a 49",1,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,72.5061561760433,0.0176371444398423,232.911900736643,0.0252406153177701
9201103,1,1,920110,"Hombre","50 a 59",1,20.9959349593496,20.9959349593496,20.9959349593496,20.9959349593496,29.7969444041759,0.00724811574683974,63.1271150221331,0.0068410726173925
9201111,1,1,920111,"Mujer","60 o más",2,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,55.2369823021732,0.0134364126670714,NA,NA
9201112,1,1,920111,"Hombre","50 a 59",1,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,59.5938888083517,0.0144962314936795,126.254230044266,0.013682145234785
9201113,1,1,920111,"Hombre","40 a 49",2,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,72.5061561760433,0.0176371444398423,NA,NA
9201121,1,1,920112,"Hombre","50 a 59",2,62.9878048780488,62.9878048780488,62.9878048780488,62.9878048780488,89.3908332125277,0.0217443472405192,NA,NA
9201122,1,1,920112,"Mujer","40 a 49",2,62.9878048780488,62.9878048780488,62.9878048780488,62.9878048780488,74.6673858104086,0.0181628642026776,NA,NA
9201123,1,1,920112,"Hombre","40 a 49",1,62.9878048780488,62.9878048780488,62.9878048780488,62.9878048780488,108.759234264065,0.0264557166597635,349.367851104965,0.0378609229766552
9201132,1,1,920113,"Mujer","40 a 49",1,41.9918699186992,125.975609756098,125.975609756098,125.975609756098,149.334771620817,0.0363257284053552,360.650682606066,0.0390836411319483
9201141,1,1,920114,"Hombre","40 a 49",1,62.9878048780488,62.9878048780488,62.9878048780488,62.9878048780488,108.759234264065,0.0264557166597635,349.367851104965,0.0378609229766552
9201142,1,1,920114,"Hombre","18 a 29",2,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,100.776323072619,0.0245138710957521,NA,NA
9201143,1,1,920114,"Mujer","30 a 39",2,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,53.2027168506602,0.0129415769801512,NA,NA
9201151,1,1,920115,"Mujer","18 a 29",2,62.9878048780488,62.9878048780488,62.9878048780488,62.9878048780488,103.780216636334,0.025244569114504,NA,NA
9201152,1,1,920115,"Hombre","60 o más",2,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,80.4572415792897,0.0195712483712394,NA,NA
9201153,1,1,920115,"Hombre","30 a 39",1,62.9878048780488,62.9878048780488,62.9878048780488,62.9878048780488,116.241248089318,0.0282757187878101,402.416375390038,0.0436097807654589
9201161,1,1,920116,"Hombre","50 a 59",2,62.9878048780488,62.9878048780488,62.9878048780488,62.9878048780488,89.3908332125277,0.0217443472405192,NA,NA
9201162,1,1,920116,"Mujer","30 a 39",2,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,53.2027168506602,0.0129415769801512,NA,NA
9201163,1,1,920116,"Hombre","50 a 59",2,104.979674796748,104.979674796748,104.979674796748,104.979674796748,148.984722020879,0.0362405787341987,NA,NA
9201171,1,1,920117,"Hombre","40 a 49",2,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,72.5061561760433,0.0176371444398423,NA,NA
9201172,1,1,920117,"Mujer","30 a 39",2,20.9959349593496,20.9959349593496,20.9959349593496,20.9959349593496,26.6013584253301,0.00647078849007558,NA,NA
9201173,1,1,920117,"Mujer","30 a 39",1,20.9959349593496,20.9959349593496,20.9959349593496,20.9959349593496,26.6013584253301,0.00647078849007558,69.2354014148983,0.00750302637159283
9201181,1,1,920118,"Hombre","30 a 39",1,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,77.4941653928785,0.0188504791918734,268.277583593358,0.0290731871769726
9201182,1,1,920118,"Mujer","40 a 49",1,20.9959349593496,20.9959349593496,20.9959349593496,20.9959349593496,24.8891286034695,0.0060542880675592,60.108447101011,0.00651394018865805
9201183,1,1,920118,"Mujer","18 a 29",1,62.9878048780488,62.9878048780488,62.9878048780488,62.9878048780488,103.780216636334,0.025244569114504,278.875143286176,0.0302216425657591
9201191,1,1,920119,"Hombre","30 a 39",2,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,77.4941653928785,0.0188504791918734,NA,NA
9201192,1,1,920119,"Hombre","40 a 49",2,104.979674796748,104.979674796748,104.979674796748,104.979674796748,181.265390440108,0.0440928610996058,NA,NA
9201193,1,1,920119,"Hombre","60 o más",1,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,80.4572415792896,0.0195712483712394,212.623270840332,0.023041940621811
9201201,1,1,920120,"Hombre","50 a 59",2,20.9959349593496,31.4939024390244,31.4939024390244,31.4939024390244,44.6954166062638,0.0108721736202596,NA,NA
9201203,1,1,920120,"Hombre","60 o más",1,41.9918699186992,62.9878048780488,62.9878048780488,62.9878048780488,120.685862368934,0.0293568725568591,318.934906260498,0.0345629109327165
9201211,1,1,920121,"Mujer","60 o más",1,62.9878048780488,62.9878048780488,62.9878048780488,62.9878048780488,82.8554734532598,0.020154619000607,164.61745304549,0.0178395599098668
9201212,1,1,920121,"Mujer","18 a 29",1,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,69.1868110908892,0.0168297127430027,185.916762190784,0.0201477617105061
9201213,1,1,920121,"Mujer","40 a 49",1,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,49.778257206939,0.0121085761351184,120.216894202022,0.0130278803773161
9201221,1,1,920122,"Mujer","60 o más",2,20.9959349593496,20.9959349593496,20.9959349593496,20.9959349593496,27.6184911510866,0.00671820633353568,NA,NA
9201222,1,1,920122,"Mujer","30 a 39",2,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,53.2027168506602,0.0129415769801512,NA,NA
9201223,1,1,920122,"Mujer","60 o más",1,83.9837398373984,83.9837398373984,83.9837398373984,83.9837398373984,110.473964604346,0.0268728253341427,219.489937393986,0.0237860798798224
9201231,1,1,920123,"Mujer","50 a 59",1,62.9878048780488,62.9878048780488,62.9878048780488,62.9878048780488,61.3702356085733,0.0149283283905925,97.7487069217074,0.0105930074908882
9201232,1,1,920123,"Mujer","50 a 59",2,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,40.9134904057155,0.00995221892706167,NA,NA
9201233,1,1,920123,"Hombre","18 a 29",2,104.979674796748,104.979674796748,104.979674796748,104.979674796748,251.940807681548,0.0612846777393803,NA,NA
9201241,1,1,920124,"Mujer","50 a 59",2,62.9878048780488,62.9878048780488,62.9878048780488,62.9878048780488,61.3702356085733,0.0149283283905925,NA,NA
9201242,1,1,920124,"Hombre","30 a 39",1,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,77.4941653928785,0.0188504791918734,268.277583593358,0.0290731871769726
9201243,1,1,920124,"Hombre","60 o más",2,41.9918699186992,41.9918699186992,41.9918699186992,41.9918699186992,80.4572415792896,0.0195712483712394,NA,NA
9201251,1,1,920125,"Mujer","60 o más",2,20.9959349593496,31.4939024390244,31.4939024390244,31.4939024390244,41.4277367266299,0.0100773095003035,NA,NA
9201252,1,1,920125,"Hombre","30 a 39",2,41.9918699186992,62.9878048780488,62.9878048780488,62.9878048780488,116.241248089318,0.0282757187878101,NA,NA
10101011,1,1,1010101,"Hombre","18 a 29",2,268.446735395189,402.670103092784,402.670103092784,402.670103092784,966.368310807061,0.235069384155577,NA,NA
10101012,1,1,1010101,"Hombre","60 o más",1,536.893470790378,805.340206185567,805.340206185567,805.340206185567,1543.04753867923,0.375346780915422,4077.79098930175,0.441909380249379
10101021,1,1,1010102,"Hombre","50 a 59",2,134.223367697595,134.223367697595,134.223367697595,134.223367697595,190.486693389451,0.0463359458336279,NA,NA
