Area,Sexo,Edad,a2002,a2003,a2004,a2005,a2006,a2007,a2008,a2009,a2010,a2011,a2012,a2013,a2014,a2015,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023,a2024,a2025,a2026,a2027,a2028,a2029,a2030,a2031,a2032,a2033,a2034,a2035
2,1,81,2401,2506,2638,2808,2999,3187,3376,3546,3689,3761,3776,3775,3755,3774,3813,3910,4063,4266,4453,4619,4789,4967,5172,5374,5626,5922,6234,6494,6736,7147,7677,8079,8441,8775
2,1,82,1804,1883,1987,2114,2277,2461,2647,2835,3019,3175,3278,3330,3372,3397,3456,3543,3663,3807,4001,4184,4345,4513,4689,4887,5087,5332,5616,5924,6174,6416,6812,7325,7719,8071
2,1,83,1758,1825,1896,1992,2112,2261,2437,2606,2776,2939,3070,3146,3177,3195,3199,3234,3302,3413,3559,3746,3926,4085,4251,4423,4620,4814,5049,5326,5630,5876,6114,6497,6997,7375
2,1,84,1425,1477,1537,1604,1690,1797,1932,2087,2244,2400,2548,2669,2745,2784,2810,2823,2864,2930,3036,3165,3341,3505,3660,3812,3973,4157,4338,4561,4814,5092,5323,5546,5900,6355
2,1,85,1236,1278,1331,1387,1448,1528,1627,1751,1891,2030,2170,2304,2414,2480,2511,2536,2550,2597,2659,2759,2886,3051,3210,3354,3501,3657,3837,4007,4221,4465,4727,4942,5158,5492
2,1,86,1026,1056,1095,1140,1189,1243,1311,1398,1506,1626,1749,1868,1983,2076,2134,2164,2191,2209,2251,2313,2408,2521,2671,2817,2950,3084,3227,3391,3548,3741,3962,4204,4397,4596
2,1,87,872,892,920,960,1002,1049,1099,1166,1244,1345,1458,1569,1683,1792,1884,1941,1977,2006,2029,2078,2138,2226,2340,2489,2631,2760,2894,3035,3198,3356,3546,3760,3995,4187
2,1,88,709,731,756,783,820,863,909,961,1024,1099,1196,1302,1413,1521,1630,1725,1779,1815,1852,1877,1930,1990,2080,2191,2338,2476,2607,2737,2883,3040,3194,3383,3593,3821
2,1,89,595,615,632,652,678,711,743,784,822,873,939,1014,1104,1194,1283,1368,1443,1497,1532,1560,1588,1638,1700,1780,1883,2011,2135,2253,2378,2503,2648,2788,2955,3145
2,1,90,464,483,506,525,543,568,599,629,665,702,751,811,883,964,1047,1133,1211,1281,1334,1367,1400,1429,1482,1542,1617,1716,1842,1960,2076,2195,2319,2462,2599,2758
2,1,91,385,408,426,445,462,482,503,530,556,588,620,663,714,779,848,923,999,1068,1137,1186,1221,1254,1286,1340,1400,1475,1566,1687,1800,1916,2028,2153,2294,2424
2,1,92,254,267,284,300,316,331,346,366,389,413,440,469,506,551,606,669,729,789,845,904,947,979,1011,1041,1088,1141,1209,1288,1395,1494,1592,1697,1800,1927
2,1,93,209,217,230,246,257,270,285,299,314,333,353,375,400,431,469,516,563,618,671,724,777,820,846,881,911,956,1008,1064,1139,1242,1333,1426,1517,1619
2,1,94,170,177,186,195,208,221,232,243,253,267,278,293,310,327,354,385,421,464,509,548,599,646,681,712,743,770,814,869,924,994,1086,1174,1258,1347
2,1,95,119,127,131,139,148,160,169,180,187,198,210,221,235,252,268,293,322,355,393,433,472,515,558,593,621,652,680,725,774,827,896,985,1068,1152
2,1,96,82,86,90,95,101,108,118,125,134,141,147,157,170,179,193,208,227,250,278,310,344,375,411,447,479,503,535,561,600,646,696,754,831,911
