"idencuesta","ola","muestra","segmento_disenno","estrato_disenno","m0_sexo","tramo_etario","tipo_atricion","pd_diseno","pd_nr","pd_atricion","pd_modelob","pd_atricion_trm","pd_nr_trm","pd_modelob_trm","ponderadorlong_total","ponderadorlong_modelob","ponderadorlong_nr","ponderadorlong_panel"
5101152,6,1,510115,2,"Hombre","50 a 59",2,3670.82202148438,4588.52734375,6052.10630819523,6052.10630819523,6052.10630819523,4588.52734375,6052.10630819523,2.63220353557866,2.63088349355717,2.26943708026241,NA
5101153,6,1,510115,2,"Mujer","50 a 59",1,734.164428710938,917.70556640625,1165.89453118284,1165.89453118284,1165.89453118284,917.70556640625,1165.89453118284,0.301136237688829,0.300980812401804,0.237696296110074,0.26701714794024
5101154,6,1,510115,2,"Mujer","30 a 39",1,4404.986328125,5506.23291015625,8174.40950309078,8174.40950309078,8174.40950309078,5506.23291015625,8174.40950309078,3.27895953885735,3.27708366433162,2.5656993737515,2.97340169557357
5101162,6,1,510116,2,"Mujer","60 o más",1,1468.32897949219,2202.49340820312,2411.35124121151,2411.35124121151,2411.35124121151,2202.49340820312,2411.35124121151,0.666384740508695,0.666171722849313,0.640903324753736,0.596645328123849
5101174,6,1,510117,2,"Mujer","60 o más",1,1468.32897949219,2936.65795898438,2639.63296940501,2639.632969405,2639.63296940501,2936.65795898438,2639.632969405,0.729471136884807,0.72923795292257,0.854537790019132,0.653129520179693
5101182,6,1,510118,2,"Hombre","18 a 29",1,734.164489746094,3670.82250976562,2283.84427466975,2283.84427466975,2283.84427466975,3670.82250976562,2283.84427466975,3.37551768046706,3.37250626709064,7.02760435507074,4.88261332308244
5101196,6,1,510119,2,"Mujer","18 a 29",1,1223.607421875,2141.31298828125,2267.28623624041,2267.28623624041,2267.28623624041,2141.31298828125,2267.28623624041,1.99008252248295,1.98827799406201,2.14683315813627,2.30522307997213
5101197,6,1,510119,2,"Mujer","18 a 29",1,1223.607421875,2141.31298828125,2675.26652782418,2675.26652782418,2675.26652782418,2141.31298828125,2675.26652782418,2.34818219019173,2.34605295110144,2.14683315813627,2.72002980763621
5101203,6,1,510120,2,"Hombre","60 o más",2,2447.21459960938,3426.10034179688,4767.76445072068,4767.76445072068,4767.76445072068,3426.10034179688,4767.76445072068,2.21864861454849,2.21797186844942,1.90372301103513,NA
5101207,6,1,510120,2,"Mujer","30 a 39",1,244.721450805664,342.610015869141,510.817086899315,510.817086899315,510.817086899315,342.610015869141,510.817086899315,0.204901474420449,0.2047842514259,0.159643501736926,0.185807230692331
5101215,6,1,510121,2,"Mujer","40 a 49",1,847.11279296875,847.11279296875,1597.95309772394,1597.95309772393,1597.95309772394,847.11279296875,1597.95309772393,0.499497640570238,0.499195483265592,0.303770788904919,0.522578128802003
5101222,6,1,510122,2,"Hombre","60 o más",1,1694.2255859375,2117.78198242188,3057.05236479178,3057.05236479178,3057.05236479178,2117.78198242188,3057.05236479178,1.4225797150533,1.4221457908769,1.17675195997839,1.59051541891702
5101224,6,1,510122,2,"Mujer","40 a 49",1,847.11279296875,1058.89099121094,1336.12147597138,1336.12147597138,1336.12147597138,1058.89099121094,1336.12147597138,0.417652761970006,0.417400114464623,0.379713486131148,0.436951411001877
5101226,6,1,510122,2,"Mujer","30 a 39",1,1129.48388671875,1411.85485839844,2144.25145051231,2144.25145051231,2144.25145051231,1411.85485839844,2144.25145051231,0.860112738994495,0.859620673277546,0.657871758264961,0.779961035262389
5101243,6,1,510124,5,"Mujer","30 a 39",2,45.4317169189453,90.8634338378906,87.616138771492,87.616138771492,87.616138771492,90.8634338378906,87.616138771492,0.035145018594188,0.0351249123244077,0.0423389745945512,NA
5101252,6,1,510125,5,"Mujer","18 a 29",1,60.5756225585938,60.5756225585938,121.033202776992,121.033202776992,121.033202776992,60.5756225585938,121.033202776992,0.106235400557995,0.106139070482507,0.0607317826937196,0.123058362911919
5101261,6,1,510126,5,"Mujer","40 a 49",1,12.3904685974121,12.3904685974121,24.9258551483095,24.9258551483095,24.9258551483095,12.7698431015015,24.9258551483095,0.00779147138518019,0.00778675814971769,0.00457920756873546,0.00815149503495857
5101291,6,1,510129,5,"Hombre","60 o más",1,4.13015604019165,8.2603120803833,6.97971471401601,6.97971471401601,14.4186991869919,12.7698431015015,14.4016965984262,0.00670964920886043,0.00669969295744566,0.00709560191891128,0.00750172409271075
5101341,6,1,510134,5,"Mujer","30 a 39",1,90.8634338378906,90.8634338378906,202.928237942053,202.928237942053,202.928237942053,90.8634338378906,202.928237942053,0.0813995777006302,0.081353009454696,0.0423389745945512,0.073814159487424
5101343,6,1,510134,5,"Hombre","50 a 59",1,30.2878112792969,30.2878112792969,65.3618511385331,65.3618511385331,65.3618511385331,30.2878112792969,65.3618511385331,0.0284274080621888,0.0284131518040017,0.0149800310312745,0.0314762848994753
5101362,6,1,510136,5,"Hombre","50 a 59",1,15.1439056396484,45.4317169189453,32.7146844391134,32.7146844391134,32.7146844391134,45.4317169189453,32.7146844391134,0.014228386558473,0.0142212510661369,0.0224700465469117,0.0157543996974544
5101373,6,1,510137,5,"Mujer","18 a 29",2,60.5756225585938,60.5756225585938,130.500604285851,130.500604285851,130.500604285851,60.5756225585938,130.500604285851,0.114545295433619,0.114441430272873,0.0607317826937196,NA
5101393,6,1,510139,5,"Mujer","60 o más",1,15.1439056396484,15.1439056396484,33.3872890848274,33.3872890848274,33.3872890848274,15.1439056396484,33.3872890848274,0.00922668568263131,0.00922373626487233,0.00440672350621283,0.00826108188252751
5101402,6,1,510140,5,"Mujer","60 o más",2,106.007331848145,141.343109130859,198.772163548288,198.772163548288,198.772163548288,141.343109130859,198.772163548288,0.054931332425851,0.0549137729843621,0.0411294164312175,NA
5101403,6,1,510140,5,"Hombre","30 a 39",1,75.7195281982422,100.959373474121,187.562281297477,187.562281297477,187.562281297477,100.959373474121,187.562281297477,0.12668766712906,0.126617043476165,0.0898304574205619,0.143457063669497
5101404,6,1,510140,5,"Mujer","60 o más",1,15.1439056396484,20.1918754577637,21.5253560175292,21.5253560175292,21.5253560175292,20.1918754577637,21.5253560175292,0.00594860198669841,0.00594670044664989,0.0058756317116299,0.00532606071009746
5101411,6,1,510141,5,"Hombre","30 a 39",1,30.2878112792969,30.2878112792969,108.455450985674,108.455450985674,108.455450985674,30.2878112792969,108.455450985674,0.0732554966689348,0.0732146594597049,0.0269491365473292,0.0829521822283635
5101422,6,1,510142,5,"Mujer","40 a 49",1,12.3904685974121,12.3904685974121,29.6685793070492,29.6685793070492,29.6685793070492,12.7698431015015,29.6685793070492,0.0092739801838053,0.00926837014558275,0.00457920756873546,0.00970250671347935
5101443,6,1,510144,5,"Hombre","60 o más",1,8.2603120803833,16.5206241607666,13.7657222347818,13.7657222347818,14.4186991869919,16.5206241607666,14.4016965984262,0.00670964920886043,0.00669969295744566,0.00917973475202405,0.00750172409271075
5101462,6,1,510146,5,"Mujer","50 a 59",1,8.2603120803833,8.2603120803833,16.694406817244,16.694406817244,16.694406817244,12.7698431015015,16.694406817244,0.00431196023733918,0.00430973470758336,0.00330753622757257,0.00382341007326977
5101463,6,1,510146,5,"Mujer","30 a 39",1,8.2603120803833,8.2603120803833,19.5156960776039,19.5156960776039,19.5156960776039,12.7698431015015,19.5156960776039,0.00782823245971529,0.00782375397143916,0.0059502710806139,0.00709873952185848
5101465,6,1,510146,5,"Hombre","60 o más",1,8.2603120803833,8.2603120803833,21.3636614263736,21.3636614263736,21.3636614263736,12.7698431015015,21.3636614263736,0.00994144285339895,0.00993841045222192,0.00709560191891128,0.0111150313597864
5101472,6,1,510147,5,"Mujer","40 a 49",1,60.5756225585938,121.151245117188,148.489885240885,148.489885240885,148.489885240885,121.151245117188,148.489885240885,0.0464158475189371,0.0463877695336975,0.0434442846472499,0.0485606032403159
5101482,6,1,510148,2,"Mujer","60 o más",1,564.741882324219,705.927368164062,752.242856350728,752.242856350728,752.242856350728,705.927368164062,752.242856350728,0.207884754432102,0.207818301644218,0.205417730471263,0.186128913194207
5101484,6,1,510148,2,"Mujer","40 a 49",1,564.741882324219,705.927368164062,971.291686752702,971.291686752702,971.291686752702,705.927368164062,971.291686752702,0.303612106343736,0.30342844458388,0.253142338678718,0.317641232966812
5101485,6,1,510148,2,"Hombre","50 a 59",1,282.370941162109,352.963684082031,456.387188133814,456.387188133814,456.387188133814,352.963684082031,456.387188133814,0.198493534155527,0.198393990255316,0.174572103996038,0.219782226297772
5101491,6,1,510149,2,"Mujer","60 o más",1,1048.80639648438,1223.607421875,1696.82304244093,1696.82304244093,1696.82304244093,1223.607421875,1696.82304244093,0.468922554085514,0.468772657518515,0.356057394747358,0.419848226016475
5101492,6,1,510149,2,"Mujer","60 o más",1,3670.82250976562,4282.6259765625,5737.02021167503,5737.02021167503,5737.02021167503,4282.6259765625,5737.02021167503,1.58544415251982,1.58493734679346,1.24620088161575,1.41952207050858
5101493,6,1,510149,2,"Mujer","60 o más",2,1048.80639648438,1223.607421875,1603.05706323278,1603.05706323278,1603.05706323278,1223.607421875,1603.05706323278,0.443010021454318,0.442868408130788,0.356057394747358,NA
5101494,6,1,510149,2,"Hombre","18 a 29",1,2097.61279296875,2447.21484375,4088.73069874138,4088.73069874138,4088.73069874138,2447.21484375,4088.73069874138,6.04313652964177,6.03774524335516,4.68506925845056,8.74126629630109
